run_id,grain,precision,recall,attempted
"tmp2005",coarse,0.655,0.552,84.28
"tmp2005",mixed,0.634,0.534,84.28
"tmp2005",fine,0.600,0.506,84.28
"tmp2006",coarse,0.660,0.574,87.04
"tmp2006",mixed,0.638,0.555,87.04
"tmp2006",fine,0.604,0.526,87.04
"tmp2007",coarse,0.664,0.584,87.93
"tmp2007",mixed,0.644,0.566,87.93
"tmp2007",fine,0.612,0.538,87.93
"tmp2008",coarse,0.623,0.524,84.15
"tmp2008",mixed,0.601,0.505,84.15
"tmp2008",fine,0.563,0.473,84.15
"tmp2009",coarse,0.636,0.543,85.37
"tmp2009",mixed,0.613,0.523,85.37
"tmp2009",fine,0.576,0.492,85.37
"tmp2010",coarse,0.636,0.565,88.79
"tmp2010",mixed,0.614,0.545,88.79
"tmp2010",fine,0.575,0.511,88.79
"tmp2011",coarse,0.645,0.576,89.27
"tmp2011",mixed,0.622,0.555,89.27
"tmp2011",fine,0.585,0.523,89.27
"tmp2012",coarse,0.678,0.565,83.39
"tmp2012",mixed,0.660,0.550,83.39
"tmp2012",fine,0.630,0.526,83.39
"tmp2013",coarse,0.680,0.577,84.84
"tmp2013",mixed,0.662,0.561,84.84
"tmp2013",fine,0.632,0.536,84.84
"tmp2014",coarse,0.680,0.600,88.26
"tmp2014",mixed,0.661,0.584,88.26
"tmp2014",fine,0.634,0.559,88.26
"tmp2015",coarse,0.682,0.609,89.17
"tmp2015",mixed,0.665,0.593,89.17
"tmp2015",fine,0.636,0.567,89.17
"tmp2016",coarse,0.645,0.554,85.90
"tmp2016",mixed,0.624,0.536,85.90
"tmp2016",fine,0.591,0.507,85.90
"tmp2017",coarse,0.651,0.563,86.51
"tmp2017",mixed,0.630,0.545,86.51
"tmp2017",fine,0.598,0.517,86.51
"tmp2018",coarse,0.659,0.589,89.45
"tmp2018",mixed,0.638,0.571,89.45
"tmp2018",fine,0.607,0.543,89.45
"tmp2019",coarse,0.661,0.596,90.19
"tmp2019",mixed,0.641,0.578,90.19
"tmp2019",fine,0.610,0.550,90.19
"tmp2020",coarse,0.618,0.538,87.04
"tmp2020",mixed,0.596,0.519,87.04
"tmp2020",fine,0.562,0.489,87.04
"tmp2021",coarse,0.626,0.553,88.39
"tmp2021",mixed,0.603,0.533,88.39
"tmp2021",fine,0.566,0.500,88.39
"tmp2022",coarse,0.634,0.574,90.54
"tmp2022",mixed,0.612,0.554,90.54
"tmp2022",fine,0.577,0.523,90.54
"tmp2023",coarse,0.640,0.584,91.28
"tmp2023",mixed,0.616,0.563,91.28
"tmp2023",fine,0.579,0.529,91.28
"tmp2024",coarse,0.679,0.569,83.85
"tmp2024",mixed,0.661,0.554,83.85
"tmp2024",fine,0.633,0.531,83.85
"tmp2025",coarse,0.678,0.582,85.80
"tmp2025",mixed,0.659,0.566,85.80
"tmp2025",fine,0.631,0.541,85.80
